año,mes,dia,Pais,mar,horario,OperadOR,ac_type,registration,summary,all_aboard,cantidad de fallecidos,ground,total_muertes,Marca,Registracion
1961,June,Monday,Egypt,terrestre,Nocturno,KLM Royal Dutch Airlines,Lockheed L-188C Electra,PH-LLM,"Crashed into a hill  at night during the approach, 4 km short of the runway. Crew's neglect to cockpit duties. Pilot's inattention to his instruments.",36,20,0,20,Lockheed,Con Registracion
1961,June,Tuesday,Cameroon,terrestre,Nocturno,Air Cameroon,Douglas DC-4,TJ-ABC,"After liftoff, the airplane encountered difficulties in gaining height when the propeller on the No 2 engine struck a tree located 1,200 meters past the runway end. The airplane continued at low height and struck a second tree, causing a fuel tank to be ruptured and to catch fire. The accident was caused by flight at too low an altitude during a night training exercise.",5,5,0,5,Douglas,Con Registracion
1961,June,Saturday,Nigeria,terrestre,Nocturno,Continentale Deutsche Luftreederei,Douglas C-54B-1-DC,D-ABEB,"Error in judgement on the part of the captain, who, after sighting the runway lights, concentrated on keeping them in sight and failed to make adequate reference to his flight instruments. As a result, he allowed the aircraft to descend below the obstacle clearance limit of 360ft.  In the darkness, with no ground reference, the runway lights gave him insufficient guidance as to his height and angle of approach and he was unaware that the aircraft had descended to ground level. The fatigue of the captain and the failure to illuminate the aircraft's landing lights were conributing factors.",7,1,0,1,Douglas,Con Registracion
1961,June,Friday,Argentina,terrestre,Nocturno,Transcontinental,Curtiss C-46A,LV-FTO,Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.,35,24,0,24,Curtiss,Con Registracion
1961,July,Saturday,Russia,terrestre,Nocturno,Aeroflot,Ilyushin IL-14P,CCCP-41848,The plane ran out of fuel and crash landed. Crew did not refuel at Kazan.,26,9,0,9,Ilyushin,Con Registracion
1961,July,Monday,Rusia,terrestre,Diurno,Aeroflot,Tupolev TU-104B,CCCP-42447,Hit apporach lights while trying to land in heavy rain.,85,1,0,1,Tupolev,Con Registracion
1961,July,Tuesday,United States,terrestre,Diurno,United Air Lines,McDonnell Douglas DC-8-12,N8040U,"Following takeoff from Omaha, hydraulic difficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydraulic emergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydraulic emergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulic system. The driver of the maintenance truck was killed.",122,17,1,18,McDonnell,Con Registracion
1961,July,Wednesday,Morocco,terrestre,Nocturno,Ceskoslovenske Aerolinie,Ilyushin IL-18B,OK-PAF,"On reaching Rabat, the plane was diverted to Casablanca because of poor ground visibility. Conditions at Casablanca were a little better but the plane overshot the runway on its first approach. With worsening conditions the pilot asked to land at the U.S. Air Force base at Nouasseur. While the tower was seeking permission, the pilot saw a window of opportunity and tried again to land at Casablanca. The aircraft crashed into a hillside and burned eight miles short of the runway.",72,72,0,72,Ilyushin,Con Registracion
1961,July,Wednesday,Argentina,terrestre,Diurno,Aerolineas Argentinas,Douglas DC-6,LV-ADW,The aircraft disintegrated in flight following the application of loads in excess of the design loads. The aircraft entered an area of extreme turbulence and was struck by lightning.,67,67,0,67,Douglas,Con Registracion
1961,July,Friday,United States,terrestre,Nocturno,Alaska Airlines,Douglas DC-6A,N6118C,"Undershot the runway by 200 feet, crashed and burned. Absence of approach and runway lights. Lack of guidance from air traffic controller during last stages of flight.",6,6,0,6,Douglas,Con Registracion
1961,August,Sunday,Hungary,terrestre,Sin Dato,Malev Hungarian Airlines,Douglas DC-3,HA-TSA,The aircraft crashed between a row of houses while on a sightseeing flight. Inattention of crew to duties. Pilots had 2 companions in the cabin during the entire flight and performed forbidden maneuvers including one sharp turn which resulted in  lost control of the aircraft.,27,27,3,30,Douglas,Con Registracion
1961,August,Wednesday,Norway,terrestre,Diurno,Cunard Eagle Airways,Vickers Viking 3B,G-AHPM,Crashed into a mountain18 nm northeast of Stravanger Airport.  Deviation from prescribed course. Cause unknown.,39,39,0,39,Vickers,Con Registracion
1961,August,Tuesday,Greenland,terrestre,Diurno,Eastern Provincial Airways,de Havilland Canada DHC-3 Otter,CF-MEX,"An in-flight fire, initiated and sustained by a severe fuel leak. The fuel leak was caused by the locking of a carburetor drain plug to unscrew.",6,1,0,1,de,Con Registracion
1961,September,Friday,United States,terrestre,Nocturno,Trans World Airlines,Lockheed 049 Constellation,N86511,The aircraft crashed and burned in a field 10 miles west of Midway Airport. The airliner had taken off from Midway headed for Las Vegas. Loss of a 5/16 inch steel bolt from the elevator boost system which caused the elevator to move to its full upward position creating a stall and loss of control of the aircraft.,78,78,0,78,Lockheed,Con Registracion
1961,September,Tuesday,Ethiopia,terrestre,Sin Dato,Ethiopian Airlines,Douglas DC-3,ET-T-16,Malfunctioning propeller. The pilot tried to turn back for an emergency landing but  the plane stalled and crashed.,19,5,0,5,Douglas,Con Registracion
1961,September,Wednesday,Brazil,terrestre,Sin Dato,REAL Transportes Aereos,Douglas C-47A (DC-3),PP-AVL,"The aircraft crashed into high terrain, 1,500 meters short of the runway in adverse weather conditions. Probable cause: Continuation of visual filght in adverse weather conditions.",4,4,0,4,Douglas,Con Registracion
1961,September,Wednesday,Costa Rica,terrestre,Sin Dato,Lineas Aéreas Costarricenses,Douglas DC-3,TI-1006C,Cargo plane crashed.,2,2,0,2,Douglas,Con Registracion
1961,September,Sunday,Ireland,terrestre,Nocturno,President Airlines,Douglas DC-6B,N90773,The aircraft crashed into the Shannon River shortly after taking off in fog. Possible fault with the artificial horizon or aircraft's aileron tabs. Contributing factor was the weather and crew fatigue.,83,83,0,83,Douglas,Con Registracion
1961,September,Tuesday,Morocco,terrestre,Nocturno,Air France,Sud-Aviation Caravelle III,F-BJTB,"The aircraft crashed and burned while attempting to land at Sale Airport. With its landing gear down and flaps partially extended, the plane struck the ground in a slight nose-down attitude. Possible misread altimeter.",77,77,0,77,Sud-Aviation,Con Registracion
1961,September,Sunday,United States,terrestre,Diurno,Northwest Orient Airlines,Lockheed 188C  Electra,N137US,"Takeoff and Initial climb appeared to be normal, but at approximately 200 feet a shallow turn to the right continued into a gradually increasing bank of about 85 to 90 degrees. While in the turn, the crew made a short, garbled transmission indicating alarm. During the latter part of the turn a gradual descent began and, two minutes after taking off, the aircraft struck the ground. Mechanical failure in the aileron primary control system due to an improper replacement of the aileron boost assembly, resulting in a loss of lateral control of the aircraft at an altitude too low to effect recovery.",37,37,0,37,Lockheed,Con Registracion
1961,September,Sunday,Zambia,terrestre,Nocturno,Transair Sweden,Douglas DC-6B,SE-BDY,"The aircraft crashed into the jungle approximately 9 miles from the destination airport. UN Secretary General, Dag Hammarskjöld, 56, killed. The aircraft was allowed to descend too low, resulting in striking trees and crashing. Although the United Nations released a statement that no evidence of sabotage was found, rumors persist about this accident alleging that the victims were shot prior to the crash or that a bomb onboard exploded. A recent report in 2011 sites pilot fatigue as the cause of the accident.",16,16,0,16,Douglas,Con Registracion
1961,September,Saturday,Turkey,terrestre,Diurno,Turkish Airlines (THY),Fokker F-27 Friendship 100,TC-TAY,"Crashed into high terrain on approach, 18 kms from Ankara Airport. The aircraft was not in a normal flying  pattern and below normal altitude.",29,28,0,28,Fokker,Con Registracion
1961,October,Saturday,France,terrestre,Nocturno,Derby Aviation,Douglas DC-3,G-AMSW,Crashed into Mt. Canigou while descending to land. Navigational error.,34,34,0,34,Douglas,Con Registracion
1961,November,Wednesday,Guernsey,terrestre,Diurno,Silver City Airways,Bristol 170 Freighter 31M,G-ANWL,Failed to gain altitude after a missed approach and crashed. The malfunctioning of the automatic pitch coarsening unit of the starboard propeller. This deprived the captain of the necessary degree of control of the aircraft at a critical stage of the flight.,10,2,0,2,Bristol,Con Registracion
1961,November,Wednesday,Brazil,terrestre,Nocturno,Panair do Brasil,Douglas DC-7C,PP-PDO,"The flight crashed into a hill during approach. Pilot error. Improper evaluation of distance, flying a non-standard traffic pattern by night and failing to observe altitude minima during the final approach.",88,45,0,45,Douglas,Con Registracion
1961,November,Wednesday,United States,terrestre,Nocturno,Imperial Airways,Lockheed C-69 Constellation,N2737A,"Flown under a military contract, several procedural errors by the crew caused the loss of 2 engines. After several more errors, the aircraft crashed into a wooded area. Most deaths from post-impact fire and CO.  Lack of command coordination and decision, faulty judgement and insufficient knowledge that led to an emergency situation. In addition there were faulty maintenance procedures. The carrier's license was revoked 6 weeks after the crash.",79,76,0,76,Lockheed,Con Registracion
1961,November,Saturday,Off Puerto Rico,maritimo,Sin Dato,Air Haiti International,Lockheed L-749A Constellation,HH-ABA,Went missing en route in the Caribbean Sea.,3,3,0,3,Lockheed,Con Registracion
1961,November,Tuesday,New Zealand,terrestre,Diurno,Bay of Plenty Airways,Aero Commander 680F,ZK-BWA,"The pilot flew too close to the summit of Mt Ruapehu and due either to turbulence or some pilot maneuver, the starboard propeller struck a rock outcrop on the mountain, bending the blade tips forward and causing vibration, which weakened the wing and led to its rapid structural failure of the aircraft.",6,6,0,6,Aero,Con Registracion
1961,November,Wednesday,Zimbabwe,terrestre,Sin Dato,Rhodesian Air Services,Sin Dato,VP-YRX,"The aircraft was on a charter flight to Livingstone to pick up United Nations troops on leave and take them back to Elizabethville. It took off from Salisbury Airport, and shortly after take-off suddenly dipped its right wing. After a slow recovery, it climbed away to between 100 - 150 ft and then went into a turn to the left with the port propeller windmilling. This turn continued to get steeper until the aircraft rolled over and dived inverted to the ground . The accident was caused by failure of the pilot to execute a successful single engine forced landing after concluding that there had been a power loss in the port engine. Evidence indicated that a failure of the port engine did not, in fact, occur. The pre-take-off rudder trimmer check was not carried out correctly as laid down in the checklist, and the aircraft took off with full left rudder trim applied. Once airborne this was misinterpreted as port engine failure, and the port propeller was feathered. No apparent action was taken by the pilot to correct the ensuing critical speed yaw.",3,3,0,3,Sin,Con Registracion
1961,November,Thursday,Brazil,terrestre,Nocturno,Aerolineas Argentinas,de Havilland Comet 4,LV-AHR,"After reaching an altitude of about 100 m, the aircraft lost altitude, collided with a eucalyptus forest and was destroyed. Pilot error. Failure to operate under IFR in adverse weather conditions at night. Failure to follow the climb procedure.",52,52,0,52,de,Con Registracion
1961,November,Thursday,Australia,terrestre,Nocturno,Ansett ANA,Vickers Viscount 720,VH-TVC,"Crashed 9 minutes after taking off, into Botany Bay, 3 miles south of the airport . In-flight structural failure due to turbulence.",15,15,0,15,Vickers,Con Registracion
1961,December,Monday,Germany,terrestre,Diurno,Lufthansa,Boeing 720-030B,D-ABOK,Crashed into an open field in a steep dive after attempting an emergency landing.,3,3,0,3,Boeing,Con Registracion
1961,December,Friday,Nicaragua,terrestre,Diurno,Lanica,Curtiss C-46,AN-AOE,The cargo plane cashed while attempting to land. Shifting cargo.,2,2,0,2,Curtiss,Con Registracion
1961,December,Sunday,Russia,terrestre,Diurno,Aeroflot,Ilyushin IL-18B,CCCP-75654,The plane made an unconcrolled dive and crashed into a snow covered field. The flight engineer inadvertently caused the flaps to be selected to 40 degrees.,59,59,0,59,Ilyushin,Con Registracion
1961,December,Thursday,Turkey,terrestre,Nocturno,British European Airways,de Havilland Comet 4B,G-ARJM,"Shortly after taking off from Esenboga Airport, the aircraft assumed an excessively steep climbing angle, stalled and crashed. The probable cause of the accident was the obstruction of the pitch pointer in the captain's director horizon which led him to make an excessively steep climb. One of three screws had worked its way loose and blocked the pointer on the dial from indicating the correct pitch.",34,27,0,27,de,Con Registracion
1961,December,Friday,Indonesia,terrestre,Sin Dato,Garuda Indonesia Airlines,Douglas DC-3,PK-GDZ,"On approach to Surabaya Airport, the plane struck a mountain.",14,14,0,14,Douglas,Con Registracion
1961,December,Sunday,Russia,terrestre,Diurno,Aeroflot,Ilyushin IL-18B,CCCP-75757,The plane crashed about 3 km southwest of the airport on a second attempt to land at Mineral Waters. Inattention of the crew due to unnecessary interactions among the crew.,119,32,0,32,Ilyushin,Con Registracion
1962,January,Saturday,Ethiopia,terrestre,Sin Dato,Ethiopian Airlines,Douglas DC-3,ET-T-1,Swerved off the runway while taking off and struck a structure.,18,5,1,6,Douglas,Con Registracion
1962,January,Monday,"Caranavi ,Bolivia",terrestre,Diurno,Corporacion Boliviano de Fomento,Curtiss C-46D,CP-541,"The cargo plane's right wing tip struck a wall and then the plane crashed into a tree. Pilot error in failing to discontinue takeoff, even after the right wing tip hit the well and broke off, while the aircraft was on the ground during the takeoff run.",6,6,0,6,Curtiss,Con Registracion
1962,January,Saturday,Rusia,terrestre,Diurno,Aeroflot,Antonov AN-10A,CCCP-11148,"Crashed on take off due to engine failure. The No..4 propeller did not feather and the airplane banked to the right, lost speed and crashed.",14,13,0,13,Antonov,Con Registracion
1962,February,Sunday,Peru,terrestre,Diurno,Faucett,Douglas DC-3,OB-PBH-530,"While flying at FL 150, the pilot radioed he was returning to Huanuco because of bad weather. Soon after, the plane was seen spiraling towards the ground and witnesses heard the engines accelerate before the aircraft hit a hill. Separation of the left elevator in flight.",18,18,0,18,Douglas,Con Registracion
1962,February,Sunday,Venezuela,terrestre,Sin Dato,Avensa,Fairchild F-27,YV-C-EVH,"Approximately 10 minutes after takeoff , for a scheduled flight to Cumana, the aircraft crashed into the San Juan Mountains.",23,23,0,23,Fairchild,Con Registracion
1962,February,Sunday,Colombia,terrestre,Diurno,Avianca,Douglas C-47A,HK-502,"After taking off the crew of the cargo plane declared an emergency and crashed shortly after. The faulty procedure on the part of the pilot who made the en route climb from Manizales to San Felix at a low altitude, so that the aircraft became trapped in a canyon and crashed in the San Felix pass at La Aguadita after stalling during a turn at 9,000 ft.",2,2,0,2,Douglas,Con Registracion
1962,March,Thursday,United States,terrestre,Diurno,American Airlines,Boeing B-707-123B,N7506A,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft.",95,95,0,95,Boeing,Con Registracion
1962,March,Sunday,Cameroon,terrestre,Diurno,Caledonian Airways,Douglas DC-7C,G-ARUD,The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.  A jammed right elevator spring tab caused the crew to lose of control of the aircraft.,111,111,0,111,Douglas,Con Registracion
1962,March,Tuesday,South Africa,terrestre,Diurno,South African Airways,Douglas DC-3,ZS-DJC,"Crashed into a mountain. Error in judgement by the pilot-in-command who attempted a low visual flight, beneath the cloud base, near mountains, in deteriorating weather conditions.",7,2,0,2,Douglas,Con Registracion
1962,March,Thursday,Italy,terrestre,Nocturno,Societa Aerea Mediterranea,Douglas DC-6B,I-DIMO,The cargo plane crashed into Mt. Velino while en route.  Premature descent on part of the crew.,5,5,0,5,Douglas,Con Registracion
1962,March,Thursday,Turkey,terrestre,Diurno,Turkish Airlines (THY),Fairchild F-27,TC-KOP,"Crashed into a mountain at an altitude of 6,800 ft. while en route in poor weather. In avoiding cumulus clouds and turbulent conditions the pilot was not able to keep track of his exact position or maintain exact altitude.",11,11,0,11,Fairchild,Con Registracion
1962,March,Thursday,Philippine Sea,maritimo,Nocturno,Flying Tiger Line,Lockheed 1049H Super Constellation,N6921C,"Lost at sea while en route from Guam to the Philippines. The crew of the SS T.L. Lenzen supertanker sighted a midair explosion at 00:30 local time, from their position at 13 degrees 44' N, 134 degrees 49' E.  The subsequent search of over 144,000 square miles found nothing. Cause undetermined.",107,107,0,107,Lockheed,Con Registracion
1962,March,Thursday,United States,terrestre,Nocturno,Flying Tiger Line,Lockheed 1049H Super Constellation,N6911C,"Crashed into a rock embankment, 328 ft. short of runway threshold while attempting to land on Runway 23 and after being warned by ATC that the plane was below the glidepath. The main gear and right wing separated from the plane and a fire ensued. The pilot's misjudgment of distance and altitude during the final approach.",7,1,0,1,Lockheed,Con Registracion
1962,March,Tuesday,Cuba,terrestre,Diurno,Cubana de Aviacion,Ilyushin IL-14,CU-T819,Crashed shortly after takeoff into the sea 1 mile offshore and sank. The weather was clear.,22,22,0,22,Ilyushin,Con Registracion
1962,April,Sunday,Colombia,terrestre,Diurno,AVISPA,Douglas C-47A-1,HK-524,"Nothing was heard from the aircraft after departing Bahia Solano. The wreckage was found 4 days later, 31 miles from the airport on Bonito Peak at an elevation of 2,400ft.",40,40,0,40,Douglas,Con Registracion
1962,May,Sunday,UK,terrestre,Diurno,Channel Airways,Douglas C-47A,G-AGZB,"The plane descended to 1,000 ft while approaching Portsmouth in low clouds and drizzle and stuck St. Boniface and bust into flames. Pilot error. Crew flew below minimum safe altitude.",18,12,0,12,Douglas,Con Registracion
1962,May,Wednesday,Brazil,terrestre,Nocturno,Cruzeiro,Convair CV-240-0,PP-CEZ,Crashed into trees short of the runway while on approach. Approach not carried out in accordance with company procedures and misjudgement of his distance from the runway.,25,23,0,23,Convair,Con Registracion
1962,May,Saturday,Greenland,terrestre,Diurno,East Provincial Airways,Consolidated Catalina,CF-IHA,"While landing on the water, the plane abruptly swerved to the right and sank in a short period of time. Because of a malfunction, the nose wheel doors were not closed and locked. The doors were torn off in the landing, allowing water to enter the wheel well severely damaging the aircraft.",21,15,0,15,Consolidated,Con Registracion
1962,May,Tuesday,Egypt,terrestre,Sin Dato,United Arab Airlines,Douglas DC-3,SU-AJM,The cargo plane crashed shortly after taking off.,3,3,0,3,Douglas,Con Registracion
1962,May,Tuesday,United States,terrestre,Nocturno,Continental Airlines,Boeing B-707-124,N70775,"While en route from Chicago to Kansas City the airliner fell from FL 390 and crashed 6 miles north-northwest of Unionville, Missouri after an explosion aboard caused separation of the tail section. Detonation of a dynamite bomb in the right rear lavatory in the towel bin under the wash basin. This is the first case of sabotage on a commercial jet airliner. The bomb was believed to have been carried aboard by a passenger in a suicide-for-insurance plot. It was alleged Thomas Doty, recently arrested for armed robery, and insured for $300,00 put together the dynamite bomb and placed it in the lavatory.",45,45,0,45,Boeing,Con Registracion
1962,May,Thursday,Russia,terrestre,Diurno,Aeroflot,Li-2,CCCP-54997,The plane lost an engine on take off and crashed 7 km southeast of the Airport.,21,20,0,20,Li-2,Con Registracion
1962,June,Sunday,France,terrestre,Diurno,Air France,Boeing B-707-328,F-BHSM,"During takeoff from Orly Airport, the nose rose for about 5 seconds and then dropped back down on the runway. Smoke streamed from the wheels as the crew tried to stop the aircraft but it ran off the runway and collided with the runway lights and a house. The only survivors were two stewardesses who were seated in the tail section which broke free in the crash. The aircraft's horizontal stabilizer was improperly trimmed due to a failure of the trim servo motor. Almost all of the victims belonged to an art society from Atlanta, which had chartered the flight.",132,130,0,130,Boeing,Con Registracion
1962,June,Monday,Bulgaria,terrestre,Nocturno,Aeroflot,Tupolev Tu-104B,CCCP-42491,The cargo plane struck a mountain after losing an engine.,5,5,0,5,Tupolev,Con Registracion
1962,June,Friday,West Indies,terrestre,Nocturno,Air France,Boeing B-707-328,F-BHST,"The aircraft crashed into a 1,400 ft. hill while on approach, 15 miles from the runway threshold. Nonfunctioning VOR station. Insufficient meteorological information given to the flight crew. Malfunctioning automatic direction finder due to the effects of poor atmospheric conditions. The aircraft was named ""Chateau de Chantilly.""",112,112,0,112,Boeing,Con Registracion
1962,June,Thursday,Russia,terrestre,Sin Dato,Aeroflot,Antonov AN-10A,CCCP11186,The plane crashed into a mountain during an approach to Adler Airport. The accident was caused by a change in approach patterns to the airport on the part of controllers without approval from aviation authorities.  Lack of training by the carrier for flights into mountainous regions.,81,81,0,81,Antonov,Con Registracion
1962,June,Saturday,Rusia,terrestre,Nocturno,Aeroflot,Tupolev TU-104A,CCCP-42370,The aircraft went into an uncontrollable dive from FL 290.,84,84,0,84,Tupolev,Con Registracion
1962,July,Friday,Rusia,terrestre,Diurno,Aeroflot,Ilyushin IL-14,CCCP-91554,"The crew reported losing the right engine. The plane lost altitude as the crew tried to make it to Tashkent. The aircraft  crashed into a cotton field, broke in three and caught fire.",38,11,0,11,Ilyushin,Con Registracion
1962,July,Saturday,India,terrestre,Nocturno,Alitalia,McDonnell Douglas DC-8-43,I-DIWD,"The aircraft crashed into a hill near Bombay, India, at an elevation of 3,600 ft. 50 miles ENE of the airport. Navigational error.  Premature descent. Crew did not use navigational facilities available.",94,94,0,94,McDonnell,Con Registracion
1962,July,Monday,Italy,terrestre,Nocturno,Trans Mediterranean Airways,Douglas DC-4,OD-AEC,"The cargo plane descended and crashed into the ocean attempting to take off. A loss of power on the No.1 and 2 engines following takeoff, which resulted in a gradual loss of height. The probable slow psycho-physical reaction of the crew, due to fatigue, may have prevented perception of the danger and the timely execution of maneuvers to prevent the accident, or minimize its consequences.",6,6,0,6,Douglas,Con Registracion
1962,July,Sunday,Pakistan,terrestre,Sin Dato,Indian Airlines,Douglas C-47A,VT-AUS,A vulture crashed through the cockpit window and killed the copilot.,3,1,0,1,Douglas,Con Registracion
1962,July,Monday,India,terrestre,Sin Dato,Kalinga Airlines,Douglas C-47,VT-DFZ,"En route, he encountered poor weather conditions and the airplane entered a narrow valley in low visibility. The pilot realized the situation and attempted a sharp turn to return when the airplane stalled, struck the ground and crashed..",9,9,0,9,Douglas,Con Registracion
1962,July,Thursday,Thailand,terrestre,Diurno,United Arab Airlines,de Havilland Comet 4C,SU-AMW,"Crashed into a jungle on the side of a mountain, 52 nm from the Bangkok airport while on approach. Premature descent. Navigational error.",26,26,0,26,de,Con Registracion
1962,July,Sunday,United States,terrestre,Nocturno,Canadian Pacific Air Lines,Bristol Britannia 314,CF-CZB,"Shortly after takeoff, a fire warning indication caused the pilot to feather the propeller on the No. 1 engine. Fuel was jettisoned, and the flight returned to Honolulu for landing approximately 40 minutes after departure. The three-engine landing approach appeared normal until the aircraft had proceeded beyond the runway threshold and had commenced its landing flare at an altitude of approximately 20 feet above the runway centerline. A go-around was attempted from this position and the aircraft banked and veered sharply to the left. Initial ground contact was made by the left wing tip approximately 550 feet to the left of the runway centerline. The aircraft progressively disintegrated as it  moved across the ground, then struck heavy earth-moving-equipment parked approximately 970 feet from the runway centerline. The accident was caused by the attempted three-engine go-around, when the aircraft was in a full landing configuration, at insufficient airspeed and altitude to maintain control. The plane was named Empress of Lima.",40,27,0,27,Bristol,Con Registracion
1962,July,Saturday,Russia,terrestre,Diurno,Aeroflot,Antonov An-10A,CCCP-11186,"Struck a mountain while attempting to land. Changes in the approach patterns for Sochi Airport, not approved by the State aviation authorities and without informing the flight crews about it.  Inadequacies of flight control and crew training in the Sochi area and training for flights in mountainous regions in general.",81,81,0,81,Antonov,Con Registracion
1962,July,Monday,France,terrestre,Sin Dato,Air France,Douglas DC-3,F-BAOE,"After rotation, the airplane encountered difficulties in gaining height and struck a truck with one of its wing.",8,4,0,4,Douglas,Con Registracion
1962,August,Wednesday,Nepal,terrestre,Diurno,Royal Nepal Airlines,Douglas DC-3,9N-AAH,"Crashed into a 11,200 ft. mountain, 100 miles from New Deli. Dirfted off course to the north of the intended track.",10,10,0,10,Douglas,Con Registracion
1962,August,Monday,Brazil,terrestre,Nocturno,Panair do Brazil,McDonnell Douglas DC-8-33,PP-PDT,Rejected takeoff. Overran runway into the sea. Incorrect stabilizer setting. Stablizer setting changed from nose-up to nose-down position. Delayed decision to abort takeoff.,105,15,0,15,McDonnell,Con Registracion
1962,August,Thursday,Colombia,terrestre,Diurno,Taxader Airlines,Douglas DC-3,HK-794,"While taking off, the aircraft began to veer to the left. The pilot corrected to avoid a collision with the T wind indicator and crossed into the parking apron. The pilot applied full power and decided to take off from the apron. The starboard wing struck two helicopters, cart wheeled and burst into flames. Pilot error. Poor flight technique, faulty judgment in trying to take off outside of the main runway.",32,20,0,20,Douglas,Con Registracion
1962,August,Friday,Peru,terrestre,Sin Dato,Faucett,Douglas DC-3,OB-PBN-659,Crashed into the jungle near San Ramon.,9,9,0,9,Douglas,Con Registracion
1962,September,Monday,Rusia,terrestre,Nocturno,Aeroflot,Tupolev TU-104A,CCCP-42366,The airliner crashed and burned 10 minutes after taking off from Khabarovsk Airport.The crew reported that they were experiencing shaking and uncontrollable roll and yaw.,86,86,0,86,Tupolev,Con Registracion
1962,September,Tuesday,United States,terrestre,Nocturno,Private - Ashland Oil Company,Lockheed 18 Lodestar,N1000F,"The aircraft lost its right wing in flight, crashed and burned in a field. Malfunction of the electric elevator trim tab unit which resulted in aircraft uncontrollability and subsequent structural failure of the wing.",13,13,0,13,Lockheed,Con Registracion
1962,September,Monday,Bolivia,terrestre,Diurno,Aerolineas Abaroa,Douglas C-47A,CP-710,"The failure of the left engine and execution of a sharp 180 degree turn to the left of the original flight path. This was the only possible maneuver since the valley ahead narrowed and a turn to the right could not be effected, because the aircraft was close to - and below the altitude of - a mountain on that side.",4,4,0,4,Douglas,Con Registracion
1962,September,Monday,Czechoslovakia,terrestre,Diurno,Ceskoslovenske Aerolinie,Avia 14,OK-MCT,Crashed on approach.,34,11,0,11,Avia,Con Registracion
1962,September,Tuesday,Russia,terrestre,Nocturno,Aeroflot,Aeroflot,CCCP-61628,Collided with a mountain while en route. Crew error. Flew below minimums into a cloud covered mountainous area.,32,32,0,32,Aeroflot,Con Registracion
1962,September,Thursday, Katanga,terrestre,Sin Dato,United Nations,Douglas C-47 Skytrain,UN-202,"While on a reconnaissance flight, the aircraft was shot down. The plane crash landed in a prairie. Leased from Transair Sweden.",10,2,0,2,Douglas,Con Registracion
1962,September,Friday,India,terrestre,Sin Dato,Kalinga Airlines,Douglas C-47A,VT-DGX,"While en route in bad weather conditions, the airplane struck the slope of a mountain located in the region of the Sela Pass.",8,8,0,8,Douglas,Con Registracion
1962,September,Sunday,North Atlantic Ocean,maritimo,Nocturno,Flying Tiger Line,Lockheed 1049H-82 Super Constellation,N6923C,"A fire developed in the No. 3 engine. A few minutes later, the propeller of the No. 1 engine oversped and the flight engineer inadvertently closed the firewall shutoff valve to the No. 1 engine. The No. 1 engine was then shut down. The No. 2 engine then developed mechanical trouble. The plane ditched at sea approximately 560 nm W of Shannon, Ireland. Gander was a refueling stop, The flight was chartered by MATS and the passengers were all U.S. servicemen and their families. Failure of 2 of the 4 aircraft's engines and the improper action of the flight engineer which disabled a 3rd engine necessitating a ditching at sea.",76,28,0,28,Lockheed,Con Registracion
1962,October,Wednesday,Canada,terrestre,Diurno,Trans Canada Air Lines,Vickers 757 Viscount,CF-THA,"Collided with a RCAF CF-101B Voodoo fighter plane on the runway. The controller having assumed in error that the Viscount was turning off at the high speed taxi strip, cleared the Voodoo aircraft for takeoff before the Viscount was clear of the active runway. The Voodoo collided with the tail of the Viscount, killing a stewardess and one passenger. The Voodoo caught fire but continued to fly. It climbed to 1,200 feet where both crew members ejected safely.",19,2,0,2,Vickers,Con Registracion
1962,October,Wednesday,Czechoslovakia,terrestre,Diurno,Czechoslovak Airlinex,Avia 14,OK-MCT,"On final, the airplane struck the top of a hill and crashed by a house located near the village of Slavkov, about 6 km from the runway 28 threshold.",42,13,0,13,Avia,Con Registracion
1962,October,Friday,Philippines,terrestre,Sin Dato,Philippine Air Lines,Fokker F-27 Friendship 100,PI-C503,Crashed while practicing take offs and landings.,3,3,0,3,Fokker,Con Registracion
1962,October,Friday,Spain,terrestre,Sin Dato,Iberia Airlines,Convair CV-440 -62,EC-ATB,"While on final approach to Seville-San Pablo Airport, the crew was able to send a brief mayday message, reporting that the aircraft caught fire. Shortly later, the airplane went out of control and crashed onto a hill located 4 km short of runway threshold.",18,18,0,18,Convair,Con Registracion
